id,lane,target_ns,stage
165,5,14481617928,scored
166,1,14489469775,scored
167,0,14501042466,scored
168,1,14583797569,scored
169,4,14598686635,scored
170,0,14605464928,scored
171,4,14663078403,scored
172,2,14686808861,scored
173,3,14694735993,scored
174,0,14851317208,scored
175,5,14920294639,scored
176,7,14945518731,scored
177,4,15053517822,scored
178,7,15107349093,scored
179,7,15218795157,scored
180,7,15288607222,scored
181,5,15296312937,scored
182,6,15305890093,scored
183,1,15323945941,scored
184,3,15328526396,scored
185,6,15358499947,scored
186,6,15399077614,scored
187,5,15538777962,scored
188,1,15542811056,scored
189,2,15585011005,scored
190,0,15680013989,scored
191,5,15701537980,scored
192,0,15723973669,scored
193,0,15775585215,scored
194,1,15842230024,scored
195,5,15871663474,scored
196,1,15883644034,scored
197,3,15908682378,scored
198,5,15952822981,scored
199,0,15983709157,scored
200,1,16134354176,scored
201,3,16173400178,scored
202,0,16308532879,scored
203,5,16370530148,scored
204,4,16400564614,scored
205,2,16446397936,scored
206,3,16536551738,scored
207,4,16619815349,scored
208,0,16634558823,scored
209,5,16643171691,scored
210,2,16829895974,scored
211,5,16837636452,scored
212,1,16849896013,scored
213,4,16878947270,scored
214,5,16889787704,scored
215,0,16907943877,scored
216,1,16912369816,scored
217,2,16994412469,scored
218,6,17011155321,scored
219,3,17048113306,scored
220,3,17112682644,scored
221,4,17331927072,scored
222,6,17463696384,scored
223,1,17532351162,scored
224,0,17543309612,scored
225,4,17566055631,scored
226,5,17570538989,scored
227,7,17609703840,scored
228,1,17718587121,scored
229,3,17736764950,scored
230,2,17756239137,scored
231,4,17786575859,scored
232,1,17796602339,scored
233,3,17821131408,scored
234,0,17846784591,scored
235,7,17864860338,scored
236,0,17908596853,scored
237,2,18039561817,scored
238,2,18092986557,scored
239,0,18164849648,scored
240,7,18182395965,scored
241,1,18216570688,scored
242,6,18386822906,scored
243,6,18433625657,scored
244,5,18444391734,scored
245,6,18481937697,scored
246,0,18510079770,scored
247,5,18533731695,scored
248,7,18568604176,scored
249,4,18575575915,scored
250,2,18601722395,scored
251,3,18728791969,scored
252,7,18740792253,scored
253,1,18975783872,scored
254,4,18989579739,scored
255,0,18991145553,scored
256,1,19050389586,scored
257,3,19095788562,scored
258,7,19135767502,scored
259,7,19209065112,scored
260,7,19361695979,scored
261,1,19364949889,scored
262,5,19375570910,scored
263,3,19421918005,scored
264,4,19428946751,scored
265,5,19448118629,scored
266,1,19513973165,scored
267,6,19523942361,scored
268,4,19537985964,scored
269,7,19538611874,scored
270,6,19585883768,scored
271,0,19637480448,scored
272,1,19681706894,scored
273,3,19697509190,scored
274,4,19769343072,scored
275,1,19810179034,scored
276,5,19840873698,scored
277,4,19875136280,scored
278,5,19974707788,scored
279,0,20229422594,scored
280,6,20272359966,scored
281,0,20353353825,scored
282,3,20370034326,scored
283,0,20456740450,scored
284,2,20474461296,scored
285,6,20568910791,scored
286,7,20597663380,scored
287,7,20695928661,scored
288,4,20700795912,scored
289,6,20716484938,scored
290,3,20745620105,scored
291,2,20795045719,scored
292,7,20843122423,scored
293,2,20879550914,scored
294,5,20921318632,scored
295,0,20965688296,scored
296,7,21029176222,scored
297,6,21047492818,scored
298,4,21068985331,scored
299,0,21143529659,scored
300,4,21176962386,scored
301,6,21232466003,scored
302,5,21282196604,scored
303,4,21294471930,scored
304,6,21322156439,scored
305,7,21356197540,scored
306,3,21412548935,scored
307,6,21449591430,scored
308,2,21610738928,scored
309,4,21687147685,scored
310,4,21758461894,scored
311,7,21769018248,scored
312,0,21852704301,scored
313,4,22020427097,scored
314,0,22110482853,scored
315,6,22124910719,scored
316,5,22171269323,scored
317,6,22220615472,scored
318,7,22277439710,scored
319,2,22419472506,scored
320,0,22455035830,scored
321,5,22493079359,scored
322,4,22516933128,scored
323,2,22726848884,scored
324,7,22794200602,scored
325,3,22851178611,scored
326,5,22968618119,scored
327,6,23027798906,scored
328,3,23039949264,scored
329,4,23158340408,scored
330,2,23213252418,scored
331,3,23218893838,scored
332,2,23253311853,scored
333,6,23295704930,scored
334,4,23360040257,scored
335,7,23393997305,scored
336,1,23446905437,scored
337,5,23526711262,scored
338,0,23535064772,scored
339,7,23550988680,scored
340,3,23582508988,scored
341,5,23596801239,scored
342,0,23606006835,scored
343,1,23702433653,scored
344,5,23712022548,scored
345,0,23773007218,scored
346,6,23823074113,scored
347,6,23994821534,scored
348,7,23999946042,scored
349,6,24146708174,scored
350,0,24263215938,scored
351,3,24265909126,scored
352,6,24290849801,scored
353,0,24308433889,scored
354,1,24310625166,scored
355,6,24332583609,scored
356,5,24369212116,scored
357,2,24374777769,scored
358,0,24382766477,scored
359,0,24485011689,scored
360,2,24516833844,scored
361,7,24638821758,scored
362,5,24687420772,scored
363,6,24886541159,scored
364,3,24904572396,scored
365,7,24910542219,scored
366,0,24971142557,scored
367,7,24974543017,scored
368,4,25310002424,scored
369,0,25335392552,scored
370,7,25475284145,scored
371,1,25535050642,scored
372,5,25568187446,scored
373,6,25654331579,scored
374,7,25700242642,scored
375,6,25784671510,scored
376,0,25808629220,scored
377,1,25887240755,scored
378,0,25926273619,scored
379,1,25977641283,scored
380,7,25987556053,scored
381,3,26054321369,scored
382,3,26122440354,scored
383,6,26130683223,scored
384,1,26148353959,scored
385,7,26293123791,scored
386,2,26342157583,scored
387,4,26431224724,scored
388,6,26493057319,scored
389,1,26572331553,scored
390,0,26594307990,scored
391,0,26642387956,scored
392,5,26658178878,scored
393,6,26700250468,scored
394,0,26713921726,scored
395,1,26738122760,scored
396,0,26881918548,scored
397,1,26901367310,scored
398,3,26937378809,scored
399,1,26971283471,scored
400,5,27003192710,scored
401,3,27107094069,scored
402,5,27191846247,scored
403,6,27291388184,scored
404,2,27435449078,scored
405,6,27437665922,scored
406,0,27445426294,scored
407,7,27447998183,scored
408,0,27519308236,scored
409,4,27531144591,scored
410,2,27539622110,scored
411,3,27643456623,scored
412,5,27679405292,scored
413,4,27768688513,scored
414,1,27860636073,scored
415,2,27986021749,scored
416,5,28065101226,scored
417,4,28117870255,scored
418,2,28200364504,scored
419,5,28216634652,scored
420,0,28258138779,scored
421,4,28259066360,scored
422,7,28267161477,scored
423,7,28485105398,scored
424,5,28528596428,scored
425,0,28576668527,scored
426,2,28611208358,scored
427,0,28700928782,scored
428,6,28753796416,scored
429,0,28851817987,scored
430,4,28889360057,scored
431,0,28906081209,scored
432,4,29042256372,scored
433,0,29073643951,scored
434,7,29099954726,scored
435,3,29146805629,scored
436,6,29179803025,scored
437,0,29356235482,scored
438,1,29414347505,scored
439,2,29461791517,scored
440,3,29463206904,scored
441,3,29537549043,scored
442,1,29586259184,scored
443,4,29715241693,scored
444,0,29871763212,scored
445,6,29894912911,scored
446,2,29949224651,scored
447,0,30045651670,scored
448,2,30101374899,scored
449,7,30110300445,scored
450,3,30131068434,scored
451,0,30179536662,scored
452,7,30205676397,scored
453,4,30321656173,scored
454,1,30404506492,scored
455,5,30450693077,scored
456,4,30508489031,scored
457,6,30624378257,scored
458,1,30633740827,scored
459,4,30657143596,scored
460,2,30659294127,scored
461,5,30717698884,scored
462,6,30766983176,scored
463,0,30792442869,scored
464,6,30926520772,scored
465,7,30928355845,scored
466,6,31002608378,scored
467,6,31054033668,scored
468,5,31071776153,scored
469,0,31128150911,scored
470,2,31182420824,scored
471,6,31252252898,scored
472,4,31291758691,scored
473,1,31340425957,scored
474,4,31348493782,scored
475,1,31410203986,scored
476,3,31412603103,scored
477,6,31452726678,scored
478,1,31452816106,scored
479,0,31492287052,scored
480,3,31582645727,scored
481,5,31628403942,scored
482,5,31777582780,scored
483,2,31800297149,scored
484,5,31824522908,scored
485,6,31842051225,scored
486,7,31883177734,scored
487,7,31946314911,scored
488,3,31993324223,scored
489,5,32022717467,scored
490,7,32039113392,scored
491,6,32063655523,scored
492,4,32067946990,scored
493,0,32079052317,scored
494,1,32144190651,scored
495,0,32227917232,scored
496,1,32284532915,scored
497,5,32311255344,scored
498,6,32321441536,scored
499,5,32416735994,scored
500,7,32461561777,scored
501,6,32575456293,scored
502,4,32610207009,scored
503,1,32612667845,scored
504,2,32644197527,scored
505,2,32756137906,scored
506,0,32770990516,scored
507,1,32822712055,scored
508,1,32971411319,scored
509,5,32973562817,scored
510,6,32985541040,scored
511,4,32993542903,scored
512,2,33031463832,scored
513,1,33102112908,scored
514,3,33166089507,scored
515,2,33218246432,scored
516,2,33313115060,scored
517,1,33404605164,scored
518,0,33443457462,scored
519,4,33505318064,scored
520,5,33564127826,scored
521,2,33584369801,scored
522,4,33586696020,scored
523,1,33595259800,scored
524,1,33671512987,scored
525,3,33731451783,scored
526,7,33744613325,scored
527,6,33749061871,scored
528,5,33827439774,scored
529,1,33865776951,scored
530,7,33871238740,scored
531,5,33919129898,scored
532,1,33941528515,scored
533,3,33967032961,scored
534,4,33977392951,scored
535,5,34055846374,scored
536,2,34071428881,scored
537,3,34072120936,scored
538,0,34188959055,scored
539,4,34285149455,scored
540,7,34347292147,scored
541,1,34364545827,scored
542,5,34392322916,scored
543,4,34416221291,scored
544,2,34447455383,scored
545,4,34461234999,scored
546,0,34505042118,scored
547,6,34615387389,scored
548,0,34663883343,scored
549,6,34688376261,scored
550,7,34697687457,scored
551,2,34722906198,scored
552,4,34751633648,scored
553,5,34752193076,scored
554,0,34763503926,scored
555,3,34806544665,scored
556,4,34836350462,scored
557,3,34974195316,scored
558,4,35073619082,scored
559,7,35181899856,scored
560,5,35234866425,scored
561,7,35239769701,scored
562,5,35525191205,scored
563,1,35577779430,scored
564,7,35582917047,scored
565,3,35613631630,scored
566,4,35634253638,scored
567,1,35670530167,scored
568,4,35711260025,scored
569,1,35751431689,scored
570,4,35769824960,scored
571,3,35793624569,scored
572,0,35801292727,scored
573,6,35803716284,scored
574,1,35822253269,scored
575,6,35856278186,scored
576,3,35886567798,scored
577,5,35920103297,scored
578,0,35958848796,scored
579,2,36070244859,scored
580,7,36155491581,scored
581,2,36158210210,scored
582,2,36209737926,scored
583,3,36223698514,scored
584,1,36230363457,scored
585,0,36334864327,scored
586,7,36527947736,scored
587,0,36555129325,scored
588,1,36628939697,scored
589,1,36840385452,scored
590,2,36919920735,scored
591,3,37059607395,scored
592,6,37291567145,scored
593,1,37321456156,scored
594,7,37387982176,scored
595,2,37406163624,scored
596,6,37406333177,scored
597,6,37465724398,scored
598,7,37466523388,scored
599,5,37568669325,scored
600,4,37636880348,scored
601,0,37665200527,scored
602,3,37690322290,scored
603,3,37747028019,scored
604,0,37839754540,scored
605,5,37874121125,scored
606,6,37883701340,scored
607,0,37915519522,scored
608,2,38007735892,scored
609,4,38067332115,scored
610,1,38088441058,scored
611,3,38091381313,scored
612,0,38118244347,scored
613,5,38186777646,scored
614,2,38196286739,scored
615,0,38293520254,scored
616,3,38433762982,scored
617,4,38455297220,scored
618,5,38457655020,scored
619,0,38485995350,scored
620,7,38489411443,scored
621,7,38574172328,scored
622,1,38662167600,scored
623,7,38671230617,scored
624,4,38696688478,scored
625,2,38727331367,scored
626,5,38817209325,scored
627,7,38843340554,scored
628,3,38850565475,scored
629,5,38877002441,scored
630,5,38924715536,scored
631,6,38949217366,scored
632,1,38975500057,scored
633,5,38997973956,scored
634,5,39094165812,scored
635,4,39107837625,scored
636,6,39113375855,scored
637,3,39141960507,scored
638,0,39157046831,scored
639,1,39164039315,scored
640,0,39251962753,scored
641,5,39260579079,scored
642,2,39291160766,scored
643,1,39371979951,scored
644,3,39391313742,scored
645,4,39515059239,scored
646,7,39522681476,scored
647,7,39646563945,scored
648,1,39666819116,scored
649,4,39900656095,scored
650,6,40027904436,scored
651,5,40075071314,scored
652,5,40217793216,scored
653,0,40239354141,scored
654,7,40248277703,scored
655,5,40260832126,scored
656,0,40306240197,scored
657,7,40318342629,scored
658,5,40353496419,scored
659,4,40428387088,scored
660,0,40432415815,scored
661,6,40497488620,scored
662,3,40499656504,scored
663,7,40542690383,scored
664,6,40641365345,scored
665,0,40646218604,scored
666,1,40777521675,scored
667,1,40823289679,scored
668,2,40839055789,scored
669,2,40935678518,scored
670,1,40948866603,scored
671,7,41016961638,scored
672,0,41077130795,scored
673,5,41086621646,scored
674,4,41114887018,scored
675,6,41162414005,scored
676,7,41163401337,scored
677,5,41200326346,scored
678,4,41338573223,scored
679,5,41356604372,scored
680,1,41389725407,scored
681,7,41405433855,scored
682,4,41488076703,scored
683,5,41522439404,scored
684,2,41585106010,scored
685,3,41599022394,scored
686,4,41630046310,scored
687,2,41639427303,scored
688,1,41678839291,scored
689,0,41693002380,scored
690,5,41694121112,scored
691,2,41770203119,scored
692,5,41800451013,scored
693,0,41878676034,scored
694,3,42010177205,scored
695,6,42037588616,scored
696,0,42072855489,scored
697,7,42099477642,scored
698,5,42211239698,scored
699,6,42241800594,scored
700,1,42261964809,scored
701,4,42273483009,scored
702,0,42279210345,scored
703,6,42342561380,scored
704,7,42352999566,scored
705,1,42356889747,scored
706,5,42366090163,scored
707,4,42447410704,scored
708,0,42487677965,scored
709,3,42589736151,scored
710,2,42639406189,scored
711,0,42645330163,scored
712,5,42718244603,scored
713,3,42859070455,scored
714,2,42994120000,scored
715,2,43066628445,scored
716,3,43082074528,scored
717,4,43086863584,scored
718,6,43209353543,scored
719,0,43262180219,scored
720,2,43263467968,scored
721,5,43289089893,scored
722,5,43380989718,scored
723,7,43432760360,scored
724,1,43434544166,scored
725,6,43478048620,scored
726,4,43595760412,scored
727,5,43601213757,scored
728,6,43604123858,scored
729,7,43684624300,scored
730,4,43685671631,scored
731,5,43796524192,scored
732,4,43907577677,scored
733,3,43930283528,scored
734,1,43951193361,scored
735,7,43953803086,scored
736,5,44004248950,scored
737,5,44062605192,scored
738,3,44099513908,scored
739,4,44266527466,scored
740,7,44270514491,scored
741,5,44276838644,scored
742,5,44319068232,scored
743,4,44323698347,scored
744,4,44435187736,scored
745,5,44460433903,scored
746,1,44473789820,scored
747,2,44509326565,scored
748,1,44561781309,scored
749,0,44589055407,scored
750,7,44767293491,scored
751,5,44885719419,scored
752,4,44893858379,scored
753,4,44981089868,scored
754,6,44989667681,scored
755,1,45080256188,scored
756,3,45125692314,scored
757,7,45149082188,scored
758,5,45270536793,scored
759,1,45323699262,scored
760,6,45336247959,scored
761,0,45377288467,scored
762,1,45421128998,scored
763,7,45626688324,scored
764,5,45670238306,scored
765,6,45730674353,scored
766,3,45769743349,scored
767,5,45786749927,scored
768,2,45798052572,scored
769,2,45881152303,scored
770,7,45886608268,scored
771,2,45927509476,scored
772,5,46249751048,scored
773,7,46268073962,scored
774,1,46409981432,scored
775,2,46493129204,scored
776,7,46503434030,scored
777,0,46542369893,scored
778,4,46602619524,scored
779,0,46645742457,scored
780,3,46692034255,scored
781,6,46756532866,scored
782,2,46759083222,scored
783,5,46774515392,scored
784,6,46826419436,scored
785,0,46877424988,scored
786,1,46973802629,scored
787,5,46974063250,scored
788,0,47029597888,scored
789,3,47035217488,scored
790,5,47063864839,scored
791,1,47087655077,scored
792,3,47100013704,scored
793,4,47109688712,scored
794,0,47118610794,scored
795,5,47147569914,scored
796,7,47157086773,scored
797,3,47200876631,scored
798,5,47219645386,scored
799,4,47226306269,scored
800,6,47243645042,scored
801,7,47252423488,scored
802,1,47274970018,scored
803,6,47305306510,scored
804,0,47365436817,scored
805,5,47418964229,scored
806,6,47464337798,scored
807,2,47467398932,scored
808,1,47485644878,scored
809,5,47519927839,scored
810,3,47534245037,scored
811,0,47537235515,scored
812,2,47551623516,scored
813,5,47610654932,scored
814,1,47681429762,scored
815,3,47695714247,scored
816,6,47710157652,scored
817,4,47747694371,scored
818,7,47752031745,scored
819,6,47784655435,scored
820,0,47850261979,scored
821,4,47856646404,scored
822,7,47942697111,scored
823,7,48000336898,scored
824,5,48011488193,scored
825,3,48014350092,scored
826,2,48025861321,scored
827,1,48030951607,scored
828,0,48089493732,scored
829,3,48164865553,scored
830,2,48235321602,scored
831,7,48418909293,scored
832,2,48427669998,scored
833,1,48467411508,scored
834,6,48503552518,scored
835,4,48566132241,scored
836,2,48583314762,scored
837,4,48607555393,scored
838,6,48764179765,scored
839,1,48774017641,scored
840,4,48837488328,scored
841,5,48859950981,scored
842,2,48882844999,scored
843,0,48888208717,scored
844,5,48927156409,scored
845,7,48959096988,scored
846,0,49005344083,scored
847,3,49040014049,scored
848,7,49077097873,scored
849,1,49321023328,scored
850,4,49331806821,scored
851,6,49439403343,scored
852,0,49481798290,scored
853,6,49522945602,scored
854,7,49631706235,scored
855,0,49696926563,scored
856,4,49701980057,scored
857,6,49755062744,scored
858,3,49824324289,scored
859,7,49825748056,scored
860,1,49855091501,scored
861,7,49891024515,scored
862,2,49902591589,scored
863,4,49976983742,scored
864,2,50011751481,scored
865,1,50086081078,scored
866,1,50179976409,scored
867,2,50229400773,scored
868,0,50311371711,scored
869,0,50373643464,scored
870,3,50386515240,scored
871,5,50415835472,scored
872,5,50463457003,scored
873,5,50516123893,scored
874,5,50665878317,scored
875,1,50789556911,scored
876,7,50809797939,scored
877,1,50862259317,scored
878,6,50935749526,scored
879,1,50943092360,scored
880,6,50975904686,scored
881,5,50976781526,scored
882,6,51022842585,scored
883,3,51058306007,scored
884,6,51073736077,scored
885,0,51123349110,scored
886,4,51135199477,scored
887,6,51142130688,scored
888,5,51166329237,scored
889,0,51178745035,scored
890,6,51187643213,scored
891,7,51282024618,scored
892,0,51341580355,scored
893,7,51457350885,scored
894,1,51579174785,scored
895,7,51603796068,scored
896,2,51616532108,scored
897,3,51693298059,scored
898,1,51709567691,scored
899,4,51713106777,scored
900,5,51736720680,scored
901,2,51752856195,scored
902,6,51820951886,scored
903,7,51832110840,scored
904,1,51913521012,scored
905,0,52011406425,scored
906,7,52052089803,scored
907,3,52189933742,scored
908,2,52214056213,scored
909,5,52248299687,scored
910,0,52274172687,scored
911,7,52320841067,scored
912,4,52325148383,scored
913,0,52331976601,scored
914,2,52332572767,scored
915,3,52338190209,scored
916,0,52442913001,scored
917,7,52489032601,scored
918,5,52580746968,scored
919,6,52596953625,scored
920,5,52631952946,scored
921,3,52693754216,scored
922,6,52706354607,scored
923,3,52788099626,scored
924,0,52870798562,scored
925,7,52978915963,scored
926,1,53027597090,scored
927,4,53075903115,scored
928,4,53143827107,scored
929,3,53161040225,scored
930,2,53197480910,scored
931,0,53234198876,scored
932,3,53336894770,scored
933,2,53390584087,scored
934,0,53430611043,scored
935,6,53434577865,scored
936,0,53519856851,scored
937,7,53606996269,scored
938,3,53617091752,scored
939,4,53637253202,scored
940,5,53688317554,scored
941,0,53706795634,scored
942,7,53707635647,scored
943,1,53722334011,scored
944,3,53733831039,scored
945,4,53745103747,scored
946,6,53750278922,scored
947,7,54045874125,scored
948,4,54064530723,scored
949,3,54076848119,scored
950,6,54138707791,scored
951,3,54162588527,scored
952,6,54222910519,scored
953,2,54261153867,scored
954,0,54422393051,scored
955,6,54426865526,scored
956,0,54467719952,scored
957,6,54535485682,scored
958,2,54576517346,scored
959,3,54605208220,scored
960,4,54614144903,scored
961,0,54622486159,scored
962,4,54671588668,scored
963,3,54671903330,scored
964,5,54682247240,scored
965,2,54703989453,scored
966,7,54714856381,scored
967,1,54726677444,scored
968,1,54804462658,scored
969,6,54824951229,scored
970,2,54826094455,scored
971,7,54830400286,scored
972,4,54832136699,scored
973,2,54887992435,scored
974,5,54902996151,scored
975,4,54956407067,scored
976,5,54986976038,scored
977,4,55126604603,scored
978,1,55129033062,scored
979,5,55135636261,scored
980,3,55142030457,scored
981,3,55321964014,scored
982,4,55329316714,scored
983,0,55359183207,scored
984,4,55530283385,scored
985,3,55541722029,scored
986,6,55557733108,scored
987,4,55690255786,scored
988,7,55692376642,scored
989,1,55695300732,scored
990,0,55714285612,scored
991,7,55839967195,scored
992,0,55862686762,scored
993,4,55890729254,scored
994,5,55934237013,scored
995,5,55979672292,scored
996,4,56055855620,scored
997,1,56096591399,scored
998,5,56107294046,scored
999,0,56150933735,scored
1000,6,56183112172,scored
1001,4,56384417877,scored
1002,7,56466431331,scored
1003,4,56524155691,scored
1004,5,56538478265,scored
1005,2,56583309650,scored
1006,7,56608526061,scored
1007,1,56615583847,scored
1008,6,56669342118,scored
1009,3,56724132310,scored
1010,4,56732356458,scored
1011,7,56733845808,scored
1012,4,56867679369,scored
1013,0,56984542427,scored
1014,2,56997984756,scored
1015,4,57025800471,scored
1016,7,57072225832,scored
1017,6,57093899365,scored
1018,4,57116729719,scored
1019,6,57158266829,scored
1020,2,57340524746,scored
1021,5,57345404670,scored
1022,6,57353016916,scored
1023,4,57411050971,scored
1024,0,57438257383,scored
1025,2,57477608042,scored
1026,4,57725852774,scored
1027,3,57793336330,scored
1028,2,57823263519,scored
1029,0,57933853886,scored
1030,2,57949870984,scored
1031,1,57972707425,scored
1032,6,58024819505,scored
1033,3,58047283223,scored
1034,2,58070201758,scored
1035,6,58076968712,scored
1036,6,58155508321,scored
1037,5,58157049782,scored
1038,2,58185452017,scored
1039,3,58239770225,scored
1040,3,58454125016,scored
1041,6,58577256653,scored
1042,4,58586327951,scored
1043,1,58807888804,scored
1044,5,58827220505,scored
1045,6,58833956895,scored
1046,2,58842605722,scored
1047,7,58898609947,scored
1048,0,59001129756,scored
1049,4,59140620676,scored
1050,1,59157600201,scored
1051,6,59160786106,scored
1052,7,59197872097,scored
1053,4,59204428628,scored
1054,6,59206485360,scored
1055,0,59225762812,scored
1056,5,59239136039,scored
1057,4,59299523206,scored
1058,0,59318110776,scored
1059,7,59323900304,scored
1060,3,59335846413,scored
1061,7,59368421966,scored
1062,0,59382467820,scored
1063,5,59387211885,scored
1064,5,59558258617,scored
1065,0,59563827021,scored
1066,5,59649500000,scored
1067,5,59703227949,scored
1068,3,59864245625,scored
1069,0,59864333497,scored
1070,5,60028526463,scored
1071,4,60064520602,scored
1072,7,60065050306,scored
1073,2,60110071848,scored
1074,7,60189558047,scored
1075,7,60331864864,scored
1076,3,60402293563,scored
1077,6,60408914203,scored
1078,7,60429323535,scored
1079,4,60492041775,scored
1080,2,60494450120,scored
1081,0,60502099658,scored
1082,5,60521000517,scored
1083,7,60522644674,scored
1084,6,60528989704,scored
1085,2,60544989318,scored
1086,7,60644808537,scored
1087,5,60844813881,scored
1088,2,60882378840,scored
1089,1,60884748202,scored
1090,4,60895793036,scored
1091,1,60931754904,scored
1092,0,60946142241,scored
